

坂本龍馬は[[あえない]]最期をとげた,あっけない
海に行く予定をだめにした雨が[[いまいましい]],腹立たしい
大量得点をしたところで、監督は選手に再度油断を[[いましめる]],悪いことをしないよう、教えさとして禁止する
ひとりでに割れたコップは、[[いまわしい]]ことが起きる前兆か,いやで不愉快なこと
夏目漱石などの、[[いわゆる]]有名な作家に興味がある,世の中で言うところの
故郷の地名の[[いわれ]]を調べる,由来
学校一の天才にできないことなら、[[いわんや]]私にできるはずがない,なおさら
こんなところで出会ったのも何かの[[いんねん]]だろうか,運命によってつながっている関係
新入生の[[ういういしい]]姿を見て、私も初心に帰ろうと思った,物慣れない感じで新鮮に見える
彼女の著書には人情の機微を見事に[[うがつ]]ことができた作品が多い,一般には気づかない本省や真実などに触れる
土の下でたくさんの虫が[[うごめく]]さまを想像すると、ぞっとする,もぞもぞと動く
なんとも[[うさんくさい]]話なので、信じられない,様子や態度がなんとなくあやしい
宿題を忘れたのを黙っていたので[[後ろめたい]]思いでいっぱいだ,やましい点があり良心が痛む
自分が犯した罪なのに、無実であると平気な顔で[[うそぶく]],わざととぼけたり、大きなことを言ったりする
夢か[[うつつ]]かわからない不思議な気持ち,正気。現実
ハンサムな彼は王子様役に[[うってつけ]]だ,条件や役割にぴったりなさま
大好きな人に振られ、しばらくは[[うつろ]]な日々を送った,ぼんやりとした
流行に[[うとい]]私は、いつも時代遅れの服装をしている,よく知らない
何でも自分の手柄にしてしまう彼女は[[うとましい]]存在だ,好ましくない
人を見下す言動が多い彼女を[[うとんじる]]人は少なくない,嫌いなのでよそよそしくする
背中を押して、前に出るよう[[うながす]],行動するよう仕向ける
二人は神前で、[[うやうやしい]]様子で誓いの言葉を述べた,礼儀正しくて丁寧な
みんなの前で突然、秘密を暴露され、[[うろたえる]],どうしてよいわからず慌てる
金儲けが見え見えの[[えげつない]]商売は、やめたほうがいい,露骨でいやらしい
いよいよ明日にせまった運動会の準備に[[おおわらわ]]だ,一生懸命になり、夢中になること
今までの苦労を[[おくびにもおださない]]態度でいる,それらしい様子もみせず、また口にもしない
すでに借金をしているくせに、[[おくめんもなく]]新たに借金を重ねる,遠慮せず、ずうずうしく
誰の前でも自己主張しすぎない彼女は[[おくゆかしい]]人だと思う,上品であったり、動作などが控えめだったりする
先輩を差し置いて意見するのは[[おこがましい]]と思う,生意気である
協会から、[[おごそか]]な祈りの声が響く,威厳があって立派なさま
日々のトレーニングを[[おこたる]]ことなく、努力を続ける,なまけていい加減にする
自分がチャンピオンであると[[おごる]]ことなく、練習に励む,才能、権力、財力を頼みにして、わがままにふるまう
彼は興味のないことには[[おざなり]]な態度をとる,その場限りの間に合わせていい加減な
彼女は四教科とも[[おしなべて]]成績が良い,全体にわたって
最後の一つを子供に譲らずに食べてしまうなんて[[おとなげない]],大人のくせに考えや行動が幼い
頑張れば[[おのずから]]結果はついてくる,自然に
川を埋め尽くすほどの[[おびただしい]]数の鮭が川をのぼっていく,非常に多い
歩き疲れて、足元が[[おぼつかない]],頼りない
庭は荒れ果て、整然としていた昔の[[おもかげ]]はない,記憶に残っている人の姿や物事の様子
出世をたくらみ、上司に[[おもねる]],人の機嫌をとって気に入られようとする
手放しにほめられ、[[おもはゆい]]気持ちでいっぱいだ,きまりが悪い、恥ずかしい
本番をむかえ、心を落ち着かせて[[おもむろに]]行動する,ゆっくりと落ち着いて
この件に詳しい君に、[[おりいって]]説明してほしい,ぜひとも
凧あげをしようとしてたら、[[おりしも]]雨が降り出した,ちょうどそのとき
祖父を介護する母の[[かいがいしい]]働きぶりに感心する,手際よく、骨身を惜しまず働くさま
地球は豊かで美しく、[[かけがえのない]]星である,代わりになるものがないほど大切
宿題をだせないことを、弟が風邪をひいたことに[[かこつける]],直接は関係ないことを口実に、そのせいにする
日光をさえぎるため、手足を[[かざす]],手を頭上に持ち上げて影にする
私が何を話しかけても、少女は、[[かたくな]]に無視を決め込んだ,頑固でものの道理がわからないこと
木の[[かたわら]]に、花が咲いている,すぐ近く
所持金との[[かねあい]]で、買うものを決める,つり合い
[[かねて]]からの夢だった海外旅行を実現させる,以前から
あなたの意見はおかしいので、賛成し[[かねる]],それをすることに抵抗を感じ、拒否をする
ドイツ人の彼は、一度舞台を見た結果、歌舞伎に[[かぶれる]]こととなった,ある物の影響を受けて夢中になる
注文したプラモデルがやっと届いたので、作成に[[かまける]],一つのことに心をとらわれ、、ほかのことが手につかない
子供たちが緊張しないよう、楽しい雰囲気を[[かもしだす]],自然にそのような雰囲気を作り出す
格下相手に苦戦を強いられたが、[[からくも]]勝利を収めた,やっと
危ないところだったが、[[かろうじて]]間に合った,ぎりぎりのところで、やっと
A君のせいで負けたと、本人の近くで[[きこえよがし]]に言う,悪口や皮肉を本人に聞こえるように言う
あの直球からするには、彼には復調の[[きざし]]がうかがえる,物事がおこりそうなしるし
社長を前に[[ぎょうぎょうしい]]挨拶をする,大げさだ
彼女の美しさは緑の中にあってこそ[[きわだつ]],特に目立つ
チームが負けたのは、誰か一人の責任ではないと[[くいさがる]],相手に立ち向かい、なかなか行動をやめない
何年も前から、胸の中に[[くすぶる]]思いがあった,表面化せず内部でもめる
[[くちさがない]]人々のせいで、私は深くきずついた,他人のうわさを無責任や無遠慮にする
若い自分が言うのには[[くちはばったい]]が、この問題は深刻だ,身の程知らずに大きなことを言うこと
五十年前に作られた木の橋が、長年の風雨で[[くちる]],くさったり、滅んでなくなったりする
彼女は見事一位になり、周囲の予想を[[くつがえす]]ことができた,ひっくり返す
和やかだった会議の[[くもゆき]]が怪しくなってきた,事の成り行き
車は、目も[[くるめく]]ほどの速さで走り去った,ものがくるくる回る。目が回る
相手の荒々しい態度に[[気おされる]]ばかりで、何も言えなかった,圧倒される
明らかに行動がおかしい男を見て、[[けげん]]な顔つきになる,その場の事情やわけがわからず、疑わしいと思う
病気の母に代わって、[[けなげ]]に家事をこなす妹,弱者が困難な状況で立派にふるまうさま
幼い弟に一人で留守番をさせるのは[[こころもとない]],不安だ
権力者には愛想がよい彼の[[こざかしい]]態度が気に入らない,利口ぶっていて生意気で、ずる賢い
彼の[[こっけいな]]しぐさに、みんながわらった,笑ってしまうほどおかしい
複数の案を[[ことごとく]]否定され、悲しくなる,すべて残らず
遠くで動く人影に目を[[こらす]]と、それが父だと分かった,一つのことに意識を集中させる
経験がないからといって、その人を[[さげすむ]]のはよくないことだ,人を見下げる
受験を控えた私の[[ささやか]]な楽しみは読書だ,小さいさま、わずか
水を蓄えているので災害があっても[[さしあたり]]水にはこまらない,現在のところ
見知らぬ人と[[さしさわり]]のない会話をして場を持たせる,不都合や支障
友を失い、[[さだめし]]つらかったことだろう,さぞかし
悪事を働いた少年を、先生が優しく[[さとす]],わかるように言い聞かせる
[[さやか]]な月の光が、暗い庭を美しく照らしていた,はっきりとして明るい
全くひどい話で、あの人は彼を[[しいたげる]]こともあったらしい,酷い扱いをして相手を苦しめる
彼女の[[しおらしい]]振る舞いに、彼はこころをひかれた,従順で同情をもよおさせるさま
会議は、厳格な会長の[[しかつめらしい]]挨拶で始まった,態度や話し方が真面目でかたくるしく、もっともな
霧がかかり、前が[[しかと]]は見えない,はっきりと
緊張を和らげるため、友人に[[しきりに]]話しかける,むやみやたらに
何年も前のケンカだが、今でも[[しこり]]が残っている,物事が片付いたらあとで残る気まずい気分
一度敗北した彼は、[[したたか]]に逆転の機会をうかがっている,ほかからの圧力に屈することなく、手ごわいさま
